
REB;washed up  
MOT;washed up  
MOT; zzz ;%add to self
UNK;xxx 
REB;Ticky wants to xxx 
MOT;xxx 
REB;xxx 
MOT;oh Ticky 
MOT; 
REB;a little bit 
REB;a little bit 
REB;xxx 
REB;xxx 
REB;xxx 
MOT;xxx 
REB;xxx 
MOT;it's supposed to be done when you're all out 
NEI;then gets all kind of uppity when he says Meg might not be here but
NEI;xxx 
NCH;xxx who's there 
MOT; 
NEI;that was because they were all sitting in my room as usual I was
MOT;she thought Carol had her own key and had just arrived and let
MOT; 
MOT;xxx 
MOT;xxx 
MOT; 
MOT; 
FMO;www 
MOT;and you look forward to seeing her again and come back with a fresh
MOT;xxx I used to go at least once a year for a couple of days to a xxx
MOT;she was working and I'd stay in bed until about twelve o'clock and
MOT;then go out to an exhibition or something then come in in the
FMO;xxx 
FMO;xxx 
MOT; 
MOT; 
MOT;oh 
MOT;xxx 
MOT;xxx 
REB;oh yes I did 
REB;oh yes I did 
REB;oh no I didn't zzz 
MOT;
REB;I want ReadyBrek 
REB;oh no you can't 
REB;oh yes I xxx 
REB;oh 
REB;xxx 
REB;oh yes I do 
REB;oh it's dark 
REB;the lady can't come 
REB;she can't see where she's going ;%add to Father
REB;xxx 
REB;xxx 
MOT;I hoped she'd say more xxx but Stephanie's ill and she didn't say anything 
REB;xxx 
REB;xxx 
MOT;xxx 
REB;she she pee poo 
MOT;xxx xxx 
REB;no 
REB;oh 
MOT;xxx xxx 
REB;there yes 
REB;xxx 
REB;helicopter near 
REB;helicopter 
REB;xxx  
REB;up in the sky 
MOT;that's you 
REB;and if we went xxx 
MOT; 
MOT; 
REB;I want a xxx 
REB;xxx 
MOT; 
MOT;hm 
MOT;yes well she's gotto have her cereal she's been waiting for because there was enough milk for the rest of the family and some;%add to neighbor
REB;I got three legs 
REB;Alice has three legs 
REB;one two three four 
REB;I've got two legs zzz 
MOT; 
MOT;and I've known him for years and years since Nicky was;%add to Abigail
MOT; 
MOT;yes 
MOT; 
MOT;xxx 
MOT; 
MOT;oh my God 
MOT;oh dear zzz www 
MOT;xxx and cover you xxx 
MOT;xxx 
MOT;xxx 
MOT;xxx 
MOT;shh open the door wide like that 
MOT; 
MOT; 
MOT;come on 
MOT;xxx 
NEI;xxx 
LOU;xxx got my hat on 
LOU;xxx got my hat on 
LOU;thankyou 
LOU;thankyou 
LOU;thankyou for all my xxx 
LOU;hello Paul 
LOU;going to Brownies ;%add to baby next door
REB;put it down 
MOT;one and xxx one ;%add to Abigail
MOT;xxx xxx 
MOT;coming 
PIA;xxx 
MOT;I just spoke to the person on the phone that if I let you in at
PIA;xxx 
PIA;xxx 
PIA;I get the treatment I go and I can't take any more you see xxx
PIA;doctor told us to leave it for a while till the system got adjusted
MOT;hallo 
MOT;sorry about that 
MOT;xxx 
MOT;xxx 
MOT;xxx 
MOT;xxx 
MOT;what 
MOT;and they discuss with me how she is getting on and what she can do
MOT;and that was the one thing I was going to buy xxx ;%add to Abigail 
FRE;I think it's a bit silly having it at school especially near lunch
FAT;xxx 
MOT;xxx 
FAT;xxx 
REB;that attack you 
FAT;xxx 
MOT;xxx ;%add to Nicole%add to Abigail
MOT;would you like to go down and say thankyou very very much 
MOT;would you say Mummy said thankyou ;%add to Abigail
MOT;well Nicky absolutely ruined this mackintosh 
MOT;and Mrs xxx mended this coat up 
REB;I want to do it ;%add to Rebecca
REB;three little piglets funny old nose 
MOT;two 
MOT;oh he's got the left arm xxx 
MOT; 
FRE;xxx 
MOT;hello 
MOT;xxx ;%add to French Girl
MOT;no 
FRE;xxx 
MOT;oh yes because xxx 
FRE;that's right 
MOT;now that's a shame 
MOT;ah 
MOT;do that one later 
MOT;xxx 
REB;yes I know Lucy 
MOT;xxx 
REB;what color is it 
MOT;xxx get you one 
REB;want to ride my bike 
MOT;xxx 
REB;that one isn't mine 
REB;it isn't any more 
REB;I've got Louli's bicycle 
MOT;what Jo 
MOT;oh well done 
REB;xxx 
REB;zzz 
REB;Abby pedal 
REB;pedal on your own 
REB;xxx 
REB;a whistle while you work 
REB;a whistle while you work 
REB;a whistle while 
REB;a whistle while 
REB;a whistle while you work 
REB;part work 
REB;can I do one 
REB;go on 
REB;go on get one 
REB;get one 
REB;get one 
REB;get one 
REB;get one 
REB;get one 
REB;
REB;there's yours in there 
REB;get one 
REB;put one in for goodness sake 
REB;oh clever girl 
REB;put one in 
REB;clever girl 
REB;put one in 
REB;put one in 
REB;no not that way up 
REB;not that way up 
REB;that way up 
FRE;elephant 
FRE;elephant 
REB;what's that color 
REB;well 
REB;look 
FRE;that's very good 
FRE;you going to have your lunch 
FRE;that's right 
UNK;xxx ;%add calling from terrace
MOT;two days to where 
LOU;you can't play with your box 
LOU;sorry Abby 
LOU;but you can't play with your box  
LOU;you haveto leave your box alone 
LOU;no she didn't 
LOU;no don't touch the clock 
REB;what time is it Louli 
LOU;don't know 
REB;pardon 
LOU;don't know 
LOU;don't touch the knobs on the clock 
REB;xxx 
LOU;the clock's in there  
LOU;yes I know 
LOU;what number is that one 
LOU;don't tell her 
LOU;number what 
LOU;number two 
LOU;number two 
REB;because she's two 
REB;seven you are 
REB;number two but now she's on 
REB;two 
REB;and when you're three it will be number three 
REB;when you're four 
LOU;Becky come here ;%add calling from kitchen
MOT;what darling 
MOT;you've got a tellie 
MOT;I don't want any fussing 
MOT;just want you to talk to Abby for today 
MOT;quietly 
LOU;Abby 
LOU;shall we do something nice with them 
LOU;xxx him 
LOU;xxx 
LOU;xxx 
LOU;one two 
REB;can I have one 
LOU;that is Abby's see 
REB;what is it 
LOU;that 
REB;open it up 
LOU;I have 
LOU;xxx 
LOU;what is it 
REB;I don't know 
REB;look 
REB;that's rude 
LOU;you haveto say in your mind it doesn't look like me ;%add to Rebecca
LOU;you do it like that 
LOU;Becky shush  
LOU;oh it's difficult to take off 
LOU;it's a bit messy 
LOU;messy Bessy 
LOU;Abby 
LOU;in my room 
LOU;use a sugar bag 
LOU;if you're going shopping use the sugar bag 
LOU;look Abby 
LOU;wee wee bang bang 
LOU;Becky 
MOT;please 
